,Titre,sstitre,Auteur,Editeur,Date,prets,Nombre de prêts par exemplaire,exemplaires,localisations,Langue,cat,tauxemprunt
284360,"Léo, Zack et Emma sont de retour ", ,Amy Ehrlich,l'Ecole des loisirs,1988,1.0,0.25,4.0,4.0,français,LFRA Litterature francaise,1.0
214668,L'épée noire ,Le cycle d'Elric,Michael Moorcock,Pocket,2006,2.0,1.0,2.0,2.0,français,LBRI Litterature britannique,4.0
126803,Expérience , ,Martin Amis,Gallimard,2003,7.0,0.7777777777777778,9.0,9.0,français,LBRI Litterature britannique,3.0
446031,Mislaid , ,Nell Zink,Harper Collins,2015,0.0,0.0,1.0,1.0,anglais,LNAM Litterature nord-americaine,0.0
320558,Tengu , ,Graham Masterton,Pocket,1996,0.0,0.0,1.0,1.0,français,LBRI Litterature britannique,0.0
440066,The occupation trilogy , ,Patrick Modiano,Bloomsbury,2015,0.0,0.0,1.0,1.0,anglais,LFRA Litterature francaise,0.0
412307,Sainte Jeanne , ,Bernard Shaw,Rombaldi,1962,0.0,0.0,1.0,1.0,français,Littérature étrangère,0.0
296510,Ada ou l'Ardeur , ,Vladimir Nabokov,Librairie générale française,1983,1.0,1.0,1.0,1.0,français,LBRI Litterature britannique,4.0
282159,Dans la forêt humaine , ,Pierre Gascar,R. Laffont,1976,1.0,1.0,1.0,1.0,français,Littérature française (autres),4.0
140023,The black echo , ,Michael Connelly,Orion Books,2000,6.0,3.0,2.0,2.0,anglais,LNAM Litterature nord-americaine,12.0
180322,Paul au téléphone , ,Christian Oster,les Éd. de Minuit,1996,4.0,0.8,5.0,5.0,français,LFRA Litterature francaise,3.0
339832,Virage en ligne droite , ,Gérard Hubert-Richou,Flammarion,1988,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
218812,A veces un caballero , ,Javier Marias,Grupo Santillana de ediciones,2001,2.0,0.6666666666666666,3.0,3.0,espagnol,LESP Litterature espagnole,3.0
264219,Été ,Le Demi-Monde,Rod Rees,J'ai lu,2016,1.0,1.0,1.0,1.0,français,LBRI Litterature britannique,4.0
252620,Hypérion , ,Friedrich Holderlin,Mercure de France,1965,1.0,1.0,1.0,1.0,français,LGER Litterature germanique,4.0
194131,La ménagerie de Versailles , ,Frédéric Richaud,B. Grasset,2006,3.0,0.5,6.0,6.0,français,LFRA Litterature francaise,2.0
264569,L'Ordination , ,Julien Benda,Emile-Paul,1926,1.0,0.5,2.0,2.0,français,LFRA Litterature francaise,2.0
235301,Le Sens de la mort , ,Paul Bourget,Plon,1939,2.0,2.0,1.0,1.0,français,LFRA Litterature francaise,8.0
83740,L'île au trésor , ,Robert Louis Stevenson,R. Laffont,2010,12.0,3.0,4.0,4.0,français,LBRI Litterature britannique,12.0
250168,Un Chant de Noël , ,Charles Dickens,Gallimard,1990,2.0,0.13333333333333333,15.0,14.0,français,LBRI Litterature britannique,1.0
56541,Accordez-moi cette valse , ,Zelda Fitzgerald,R. Laffont,2007,21.0,3.0,7.0,7.0,français,LNAM Litterature nord-americaine,12.0
417096,Jean-Jacques Rousseau jugé par ses contemporains , ,Raymond Trousson,H. Champion,2000,0.0,0.0,1.0,1.0,français,Littérature française (autres),0.0
266248,Les trois Parques , ,Linda Lê,C. Bourgois,2011,1.0,1.0,1.0,1.0,français,LFRA Litterature francaise,4.0
208426,Les fantômes de Joseph Conrad , ,Gavin Young,Payot,1993,3.0,1.5,2.0,2.0,français,LBRI Litterature britannique,6.0
420094,Les dix gros blancs , ,Emmanuel Pierrat,Fayard,2005,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
177432,Mes inscriptions , ,Louis Scutenaire,Allia,1982,4.0,4.0,1.0,1.0,français,Littérature française (autres),17.0
97828,"En route, petit frère ! ", ,Catherine de Lasa,Bayard poche,2003,10.0,3.3333333333333335,3.0,3.0,français,LFRA Litterature francaise,14.0
388637,Tous les hommes qui sont ici , ,Valérie Dayre,l'Atelier du poisson soluble,2006,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
40405,Moby Dick , ,Herman Melville,Flammarion,2012,31.0,2.3846153846153846,13.0,12.0,français,LNAM Litterature nord-americaine,10.0
20612,L'oeil d'Otolep ,Les mondes d'Ewilan,Pierre Bottero,Rageot,2007,61.0,3.210526315789474,19.0,18.0,français,LFRA Litterature francaise,13.0
157672,"Bartabas, roman ", ,Jérôme Garcin,Gallimard,2004,5.0,0.5555555555555556,9.0,9.0,français,LFRA Litterature francaise,2.0
137156,Indétectable , ,Jean-Noël Pancrazi,Gallimard,2014,6.0,0.6666666666666666,9.0,9.0,français,LFRA Litterature francaise,3.0
143002,Le Champ dolent , ,Hervé Baslé,Feryane,2003,5.0,5.0,1.0,1.0,français,LFRA Litterature francaise,21.0
332759,Oeuvres complètes , ,Georges Simenon,"Rencontre, cop",1968,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
