,Titre,sstitre,Auteur,Editeur,Date,prets,Nombre de prêts par exemplaire,exemplaires,localisations,Langue,cat,tauxemprunt
362910,Les plaisirs du voyage ,Oeuvres complètes / Pierre Benoit,Pierre Benoit,Edito-Service,1968,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
60480,Quatre cercueils , ,Pep Coll,Actes Sud,2015,19.0,1.4615384615384615,13.0,13.0,français,LESP Litterature espagnole,6.0
106369,Le magicien de Lublin , ,Isaac Bashevis-Singer,J'ai lu,2012,9.0,3.0,3.0,3.0,français,LNAM Litterature nord-americaine,12.0
348566,Si rien ne bouge , ,Hélène Gaudy,Actes Sud,2014,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
232697,Le Froid de la Saint-Jean , ,Stig Dagerman,M. Nadeau,1988,2.0,0.5,4.0,4.0,français,LNOR Litterature nordique,2.0
208700,Montaigne par lui-même , ,Francis Jeanson,Seuil,1971,3.0,1.5,2.0,2.0,français,"D801 Etudes litteraires, revues litteraires",6.0
226945,Reverberator , ,Henry James,la Différence,2002,2.0,1.0,2.0,2.0,français,LBRI Litterature britannique,4.0
70502,Histoires de fleurs , ,Isabelle Lafonta,Flies France,2003,16.0,0.8888888888888888,18.0,17.0,français,D802 Anthologies litteraires,4.0
362863,Le paradis des fous , ,Virion Graçi,Gallimard,2000,0.0,0.0,1.0,1.0,français,LBAL Litterature des Balkans,0.0
164986,Les misérables , ,Victor Hugo,Larousse,2007,4.0,2.0,2.0,2.0,français,LFRA Litterature francaise,8.0
77357,Le royaume des ombres ,Beast quest,Adam Blade,Hachette Jeunesse,2011,14.0,7.0,2.0,2.0,français,LBRI Litterature britannique,29.0
362580,Le retour de Jules , ,Didier Van Cauwelaert,Libra diffusio,2018,0.0,0.0,10.0,10.0,français,LFRA Litterature francaise,0.0
398867,C'est tout à fait moi , ,Jean-Jacques Gautier,R. Julliard,1956,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
369906,L'héritier de l'arc-en-ciel ,Shikanoko,Lian Hearn,Gallimard-Jeunesse,2017,0.0,0.0,22.0,22.0,français,LBRI Litterature britannique,0.0
340554,Contrefables , ,György Somlyo,Gallimard,1973,0.0,0.0,1.0,1.0,français,Littérature étrangère,0.0
340092,Whoosh ! , ,D.B.C. Pierre,Rivages,2012,0.0,0.0,3.0,3.0,français,LAUS Litterature australienne et du Pacifique,0.0
278852,Already gone , ,John Rector,Simon & Schuster,2011,1.0,1.0,1.0,1.0,anglais,LNAM Litterature nord-americaine,4.0
117239,Under the dome , ,Stephen King,Hodder & Stoughton,2009,8.0,1.3333333333333333,6.0,6.0,anglais,LNAM Litterature nord-americaine,6.0
268773,Dostoïevski du double à l'unité , ,René Girard,Plon,1963,1.0,1.0,1.0,1.0,français,Littérature étrangère,4.0
146030,Voyage présidentiel , ,Pierre-Jean Remy,Seuil,2010,5.0,0.625,8.0,8.0,français,LFRA Litterature francaise,3.0
256040,La fortune des Laufer , ,Bernard Lentéric,Librairie générale française,1997,1.0,0.3333333333333333,3.0,3.0,français,LFRA Litterature francaise,1.0
89754,L'infiltré de La Havane , ,Nikos Maurice,Éditions de la Différence,2015,11.0,3.6666666666666665,3.0,3.0,français,LFRA Litterature francaise,15.0
366091,Les Atlantes , ,Georges Bordonove,R. Laffont,1965,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
359474,Plan fixe , ,Marjorie Dorner,Librairie générale française,1995,0.0,0.0,1.0,1.0,français,LNAM Litterature nord-americaine,0.0
83226,Un chagrin de passage , ,Françoise Sagan,Pocket,2008,12.0,6.0,2.0,2.0,français,LFRA Litterature francaise,25.0
50179,Le roman de Sofia , ,Henning Mankell,Flammarion,2011,24.0,1.263157894736842,19.0,19.0,français,LNOR Litterature nordique,5.0
72517,Iphigénie , ,Jean Racine,Flammarion,1998,15.0,2.142857142857143,7.0,5.0,français,LFRA Litterature francaise,9.0
90493,Le Club des incorrigibles optimistes , ,Jean-Michel Guenassia,A vue d'oeil,2010,11.0,1.375,8.0,8.0,français,LFRA Litterature francaise,6.0
14914,Une disparition inquiétante , ,Dror Mishani,Éd. du Seuil,2014,80.0,5.0,16.0,16.0,français,LMMO Litterature du Maghreb et du Moyen-Orient,21.0
163428,Les misérables , ,Victor Hugo,R. Laffont,1993,4.0,4.0,1.0,1.0,français,LFRA Litterature francaise,17.0
421725,La lettre italienne , ,Jean-Philippe Arrou-Vignod,Belfond,1993,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
223246,L'orage , ,Régine Deforges,Pocket,2007,2.0,2.0,1.0,1.0,français,LFRA Litterature francaise,8.0
54221,Le faucheur ,Les annales du disque-monde.,Terry Pratchett,l'Atalante,1998,22.0,2.75,8.0,8.0,français,LBRI Litterature britannique,11.0
214880,La bonne étoile de Carole ,Grand Galop,Bonnie Bryant,Bayard jeunesse,2004,2.0,2.0,1.0,1.0,français,LNAM Litterature nord-americaine,8.0
384777,L'accroc , ,Carol Higgins Clark,Librairie générale francaise,1997,0.0,0.0,1.0,1.0,français,LNAM Litterature nord-americaine,0.0
51945,La bête humaine , ,Emile Zola,Pocket,2009,23.0,2.875,8.0,8.0,français,LFRA Litterature francaise,12.0
180611,Langue morte , ,Jean-Michel Delacomptée,Gallimard,2009,3.0,1.0,3.0,3.0,français,LFRA Litterature francaise,4.0
224197,Buenos Aires , ,Jules Huret,Magellan & Cie; Géo ,2009,2.0,2.0,1.0,1.0,français,LFRA Litterature francaise,8.0
115936,Le bras du diable , ,Julie Waeckerli,Pocket,2013,8.0,1.0,8.0,8.0,français,LFRA Litterature francaise,4.0
380553,El día del Watusi , ,Francisco Casavella,Debolsillo,2004,0.0,0.0,1.0,1.0,espagnol,LESP Litterature espagnole,0.0
13119,Les règles du jeu , ,James Frey,Gallimard,2016,88.0,2.5142857142857142,35.0,35.0,français,LNAM Litterature nord-americaine,10.0
227741,Julie Lescaut , ,Alexis Lecaye,Editions du Masque,2005,2.0,2.0,1.0,1.0,français,LFRA Litterature francaise,8.0
316982,Déjà dead , ,Kathy Reichs,Arrow,1998,0.0,0.0,1.0,1.0,anglais,LNAM Litterature nord-americaine,0.0
124005,Poussières d'os , ,Karin Salvalaggio,Bragelonne,2016,7.0,3.5,2.0,2.0,français,LFRA Litterature francaise,15.0
76222,Pegasus Descending , ,James Lee Burke,"Phoenix, DL",2007,14.0,1.5555555555555556,9.0,9.0,anglais,LNAM Litterature nord-americaine,6.0
343178,Chute libre , ,William Golding,Gallimard,1983,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
396772,On ne part pas , ,Henri Raczymow,Gallimard,1983,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
102379,L'intranquille , ,Gérard Garouste,LGF,2011,9.0,1.8,5.0,5.0,français,LFRA Litterature francaise,8.0
220459,Suna no onna , ,Kōbō Abe,Shinchōsha,1981,2.0,2.0,1.0,1.0,japonais,LJAP Litterature japonaise et coreenne,8.0
319926,Sous le soleil de minuit , ,Simone Schmitzberger,Flammarion,1996,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
253608,Immoralités , ,Dominique Noguez,Gallimard,1999,1.0,1.0,1.0,1.0,français,LFRA Litterature francaise,4.0
186549,Paladin des âmes , ,Lois McMaster Bujold,Bragelonne,2004,3.0,0.75,4.0,4.0,français,LNAM Litterature nord-americaine,3.0
216771,The two towers ,Lord of the rings,John Ronald Reuel Tolkien,HarperCollins,2008,2.0,2.0,1.0,1.0,anglais,LBRI Litterature britannique,8.0
351231,Dans le décor , ,Jérôme Beaujour,POL,2005,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
33433,Le dernier été d'un jeune homme , ,Salim Bachi,Flammarion,2013,38.0,2.533333333333333,15.0,15.0,français,LFRA Litterature francaise,11.0
182930,Le vent se lève , ,Marie-Clémence Duguet,l'Harmattan,2013,3.0,3.0,1.0,1.0,français,LFRA Litterature francaise,12.0
84408,Les grandes pollutions , ,Anne Lesterlin,Milan jeunesse,2007,12.0,0.6,20.0,20.0,français,LFRA Litterature francaise,3.0
68384,Le testament d'Ariane , ,Françoise Bourdin,Feryane,2011,16.0,2.0,8.0,8.0,français,LFRA Litterature francaise,8.0
192934,Le trésor du faucon , ,Jacques Futrelle,les Moutons électriques,2014,3.0,0.6,5.0,5.0,français,LNAM Litterature nord-americaine,3.0
336985,"Cocteau, la ligne d'un style ", ,Serge Linares,SEDES,2000,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
25915,Communion mortelle ,Les carnets de Max Liebermann,Frank Tallis,10-18,2010,50.0,2.0833333333333335,24.0,24.0,français,LBRI Litterature britannique,9.0
118992,"Les années d'utopie, 1968-1969 ", ,Jean-Claude Carrière,Plon,2002,7.0,1.0,7.0,7.0,français,LFRA Litterature francaise,4.0
292137,L'origine du monde , ,Michel Boujut,Éd. de l'Olivier,1991,1.0,1.0,1.0,1.0,français,LFRA Litterature francaise,4.0
211128,Olga , ,Fernando Morais,Chandeigne,2015,2.0,2.0,1.0,1.0,français,LLAT Litterature latino-americaine,8.0
347217,"Maman, je veux pas être empereur ", ,Françoise Xenakis,A. Michel,2000,0.0,0.0,2.0,2.0,français,LFRA Litterature francaise,0.0
323268,Mission CM2 , ,Sophie Dieuaide,Casterman,2016,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
239072,La nausée de Jean-Paul Sartre , ,Jacques Deguy,Gallimard,1993,2.0,0.4,5.0,5.0,français,"D801 Etudes litteraires, revues litteraires",2.0
359139,La mise en scène , ,Claude Ollier,Ed. de Minuit,1958,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
148650,Nee asobô yo ! , ,Fujimoto Tomohiko,"Doshinsha, impr.",2004,5.0,2.5,2.0,2.0,japonais,LJAP Litterature japonaise et coreenne,10.0
178959,Blue Monday , ,Nicci French,Penguin books,2012,4.0,4.0,1.0,1.0,anglais,LBRI Litterature britannique,17.0
134373,Les Indes noires , ,Jules Verne,LGF,1987,6.0,1.2,5.0,5.0,français,LFRA Litterature francaise,5.0
406893,Les complaintes , ,Jules Laforgue,Imprimerie nationale,1981,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
203677,Touch & go , ,Lisa Gardner,Headline,2013,3.0,3.0,1.0,1.0,anglais,LNAM Litterature nord-americaine,12.0
71461,Génie du Christianisme , ,François-René de Chateaubriand,Flammarion,1990,15.0,1.1538461538461537,13.0,13.0,français,LFRA Litterature francaise,5.0
339045,Abyad wa aswad , ,Zakariya Tamer,Al-mu'assasa al-*arabiyya li-l-dirâsât wa al-nashr;Al-warsha at-tajrîbiyya al-*arabiyya li-kutub al-atfâl, ,0.0,0.0,1.0,1.0,arabe,LMMO Litterature du Maghreb et du Moyen-Orient,0.0
367238,Les souliers rouges de la duchesse , ,Jack-Alain Léger,F. Bourin,1992,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
103318,"Moi, Ferdinand, quand j'étais un monstre ","Moi, Ferdinand",René Gouichoux,Nathan Jeunesse,2010,9.0,4.5,2.0,2.0,français,LFRA Litterature francaise,19.0
210791,Double assassinat dans la rue Morgue , ,Edgar Allan Poe,Larousse,1999,2.0,2.0,1.0,1.0,français,LNAM Litterature nord-americaine,8.0
232629,The loneliness of the long-distance runner , ,Alan Sillitoe,Vintage Books,2010,2.0,2.0,1.0,1.0,anglais,LBRI Litterature britannique,8.0
264145,Le seigneur aux mains rouges , ,Claude Merle,Bayard jeunesse,2008,1.0,0.5,2.0,2.0,français,LFRA Litterature francaise,2.0
447324,Ma Provence , ,Yvan Audouard,Plon,1997,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
139032,Morne Câpresse , ,Gisèle Pineau,Mercure de France,2008,6.0,0.75,8.0,8.0,français,LFRA Litterature francaise,3.0
445354,Le Bruit de la mer , ,Claire Bonnafé,Balland,1977,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
27999,Cocktail time , ,Pelham Grenville Wodehouse,les Belles lettres,2015,46.0,2.875,16.0,16.0,français,LNAM Litterature nord-americaine,12.0
360274,La flûte de Pan , ,Robert Coover,Gallimard,1974,0.0,0.0,1.0,1.0,français,LNAM Litterature nord-americaine,0.0
323096,Homo faber , ,Max Frisch,N.R.F,1961,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
16237,Arlington Park , ,Rachel Cusk,Éd. de l'Olivier,2007,74.0,2.466666666666667,30.0,30.0,français,LBRI Litterature britannique,10.0
129885,Une poignée de seigle , ,Agatha Christie,Librairie générale française,2003,6.0,6.0,1.0,1.0,français,LBRI Litterature britannique,25.0
136676,Nothing gold can stay , ,Ron Rash,Canongate,2013,6.0,6.0,1.0,1.0,anglais,LNAM Litterature nord-americaine,25.0
423014,La grande croisade ,La guerre de la couronne,Michael A. Stackpole,Milady,2012,0.0,0.0,1.0,1.0,français,LNAM Litterature nord-americaine,0.0
334247,Le testament Aulick , ,Pierre Servent,R. Laffont,2016,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
288056,La montée des orages ,La roue du temps.,Robert Jordan,Payot & Rivages,2000,1.0,0.3333333333333333,3.0,3.0,français,LNAM Litterature nord-americaine,1.0
125576,La trilogie des rois ,Les Derynis,Katherine Kurtz,Pocket,2007,7.0,3.5,2.0,2.0,français,LNAM Litterature nord-americaine,15.0
162387,Je veux y arriver ! ,Mademoiselle Zouzou,Agnès Aziza,Gründ,2015,4.0,4.0,1.0,1.0,français,LFRA Litterature francaise,17.0
305375,Le porteur de cartable , ,Akli Tadjer,J.-C. Lattès,2001,1.0,1.0,1.0,1.0,français,LFRA Litterature francaise,4.0
4162,Le fantôme de Monte-Cristo , ,François Place,Gallimard Jeunesse,2016,187.0,4.921052631578948,38.0,37.0,français,LFRA Litterature francaise,21.0
437649,L'ange et le loup , ,Patrice Pelissier,de Borée,2010,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
72134,Un sentiment plus fort que la peur , ,Marc Lévy,Pocket,2014,15.0,7.5,2.0,2.0,français,LFRA Litterature francaise,31.0
105388,Petit Bodiel et autres contes de la savane , ,Amadou Hampaté Bâ,Pocket,2006,9.0,1.8,5.0,5.0,français,LAFR Litterature africaine sub-saharienne,8.0
198207,La plus affreuse des sorcières , ,Nicolas de Hirsching,Rageot,1995,3.0,0.75,4.0,4.0,français,LFRA Litterature francaise,3.0
251599,Etudes sur le temps humain , ,Georges Poulet,Presses Pocket,1989,1.0,0.5,2.0,2.0,français,"D801 Etudes litteraires, revues litteraires",2.0
394841,L'autre qu'on adorait , ,Catherine Cusset,Gallimard,2018,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
290334,Un coeur intelligent , ,Alain Finkielkraut,Gallimard,2010,1.0,0.5,2.0,2.0,français,"D801 Etudes litteraires, revues litteraires",2.0
313736,Gare au vétérinaire , ,Babette Cole,Seuil,1992,1.0,1.0,1.0,1.0,français,LFRA Litterature francaise,4.0
435130,La cuiller , ,Bulat Salvovic Okudzava,R. Julliard,1967,0.0,0.0,1.0,1.0,français,LRUS Litterature russe et sovietique,0.0
312379,Mélanie et les sept frères  McGowan , ,Kate Brian,Pocket jeunesse,2008,1.0,0.5,2.0,2.0,français,LNAM Litterature nord-americaine,2.0
182906,Le fil rouge , ,Robert Littell,Gallimard,2007,3.0,1.5,2.0,2.0,français,LNAM Litterature nord-americaine,6.0
440608,Les voleurs de temps ,"Antarès, agent spatio-temporel",Christophe Lambert,Degliame,2001,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
119973,"Hernani ; Ruy Blas, Victor Hugo ", ,Sylvie Dauvin,Hatier,2003,7.0,1.1666666666666667,6.0,6.0,français,LFRA Litterature francaise,5.0
436888,L'épouse du magicien , ,Brian Moore,l'Archipel,2004,0.0,0.0,1.0,1.0,français,LNAM Litterature nord-americaine,0.0
437718,Rendez-vous à Belinay , ,Sylvie Baron,Calmann-Lévy,2018,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
354940,Oeuvres complètes , ,Henrik Ibsen,Plon,1937,0.0,0.0,1.0,1.0,français,LNOR Litterature nordique,0.0
103549,L'amour dure trois ans , ,Frédéric Beigbeder,Grasset,2012,9.0,4.5,2.0,2.0,français,LFRA Litterature francaise,19.0
280371,Le seigneur des iles , ,Daniel Gray,Club de la femme,1949,1.0,1.0,1.0,1.0,français,LFRA Litterature francaise,4.0
189578,Five days , ,Douglas Kennedy,Atria books,2013,3.0,3.0,1.0,1.0,anglais,LNAM Litterature nord-americaine,12.0
568,Vernon Subutex ,Vernon Subutex,Virginie Despentes,Bernard Grasset,2017,465.0,7.380952380952381,63.0,48.0,français,LFRA Litterature francaise,31.0
293013,Théâtre complet , ,Bertolt Brecht,L'Arche,1968,1.0,0.5,2.0,2.0,français,LGER Litterature germanique,2.0
288602,The miracle at speedy motors , ,Alexander McCall Smith,Anchor Books,2009,1.0,1.0,1.0,1.0,anglais,LBRI Litterature britannique,4.0
340667,Faust , ,Johann Wolfgang von Goethe,Deutscher Taschenbuch Verl,1980,0.0,0.0,1.0,1.0,allemand,LGER Litterature germanique,0.0
343335,La désagrégation de l'atome , ,Georgij Vladimirovič Ivanov,Solin,1991,0.0,0.0,1.0,1.0,français,LRUS Litterature russe et sovietique,0.0
268680,Larchmütz 5632 , ,Jean-Bernard Pouy,Gallimard,1999,1.0,1.0,1.0,1.0,français,LFRA Litterature francaise,4.0
215961,La confession d'Abraham , ,Muḥammad Qāsimī,Gallimard,2000,2.0,0.5,4.0,4.0,français,LFRA Litterature francaise,2.0
284888,The wolf gift , ,Anne Rice,Arrow books,2012,1.0,1.0,1.0,1.0,anglais,LNAM Litterature nord-americaine,4.0
83283,Théâtre ,Théâtre,Sacha Guitry,Omnibus,2012,12.0,2.0,6.0,6.0,français,LFRA Litterature francaise,8.0
413114,Gens de Mosta , ,Habib Tengour,Sinbad;Actes Sud,1997,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
157092,Les gardiens du Ponant ,La Mallorée.,David Eddings,Presses pocket,1992,5.0,2.5,2.0,2.0,français,LNAM Litterature nord-americaine,10.0
95080,Après la pluie , ,Shashi Deshpande,P. Picquier,2009,10.0,0.7692307692307693,13.0,13.0,français,LIND Litterature indienne et asiatique,3.0
271188,8 minutes de ma vie , ,Gilles Bornais,J.-C. Lattès,2012,1.0,0.25,4.0,4.0,français,LFRA Litterature francaise,1.0
47717,Willy Protagoras enfermé dans les toilettes , ,Waǧdī Muʿawwaḍ,Leméac;Actes Sud,2004,26.0,3.25,8.0,7.0,français,LFRA Litterature francaise,14.0
361648,Un verre de pluie , ,Martine Rodmanski,la Grande Ourse,2014,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
103309,La tour , ,Uwe Tellkamp,Grasset,2012,9.0,0.6923076923076923,13.0,13.0,français,LGER Litterature germanique,3.0
56911,La vengeance du tigre ,Sally Lockhart,Philip Pullman,Gallimard jeunesse,2004,21.0,1.0,21.0,21.0,français,LBRI Litterature britannique,4.0
173548,La pierre de lune , ,Wilkie Collins,Archipoche,2013,4.0,2.0,2.0,2.0,français,LBRI Litterature britannique,8.0
337693,Les Pardaillan ,Les Pardaillan .,Michel Zévaco,R. Laffont,1988,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
417752,Histoire des oracles , ,Bernard Le Bouyer de Fontenelle,M. Didier,1971,0.0,0.0,1.0,1.0,français,Littérature française (autres),0.0
402753,Tete à tete , ,Paul Emond,Labor,2005,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
384032,L'amour en Crimée , ,Sławomir Mrożek,les Éd. Noir sur blanc,1994,0.0,0.0,2.0,2.0,français,Littérature étrangère,0.0
196047,Là-bas , ,Peter Cameron,Payot et Rivages,2003,3.0,0.75,4.0,4.0,français,LNAM Litterature nord-americaine,3.0
132270,L'homme démasqué , ,Thomas Hardy,Motifs,2008,6.0,1.2,5.0,5.0,français,LBRI Litterature britannique,5.0
387721,4Die Räuber , ,Friedrich Schiller,Reclam,1997,0.0,0.0,1.0,1.0,allemand,LGER Litterature germanique,0.0
375512,Le sentier sauvage , ,Timothy O'Grady,R. Laffont,1993,0.0,0.0,1.0,1.0,français,LBRI Litterature britannique,0.0
250826,Dîners de lune , ,Léon-Paul Fargue,Gallimard,1997,2.0,0.6666666666666666,3.0,3.0,français,LFRA Litterature francaise,3.0
55144,François le bossu , ,Sophie de Ségur,Hachette jeunesse,2007,22.0,3.142857142857143,7.0,7.0,français,LFRA Litterature francaise,13.0
202005,Option paradis ,La grande intrigue,François Taillandier,Stock,2005,3.0,1.0,3.0,3.0,français,LFRA Litterature francaise,4.0
13463,"Bonjour, monsieur Pouce ! ", ,Ingrid Godon,Bayard jeunesse,2003,86.0,2.9655172413793105,29.0,25.0,français,LFRA Litterature francaise,12.0
322987,"Lichtenberg, 1742-1799 ", ,Georg Christoph Lichtenberg,A. Silvaire,1998,0.0,0.0,1.0,1.0,français,Littérature étrangère,0.0
71442,Les malheurs de Sophie , ,Sophie de Ségur,France Productions,2011,15.0,7.5,2.0,2.0,français,LFRA Litterature francaise,31.0
212001,Le vagabond de Holmby Park , ,Herbert H. Lieberman,Seuil,2004,2.0,0.6666666666666666,3.0,3.0,français,LNAM Litterature nord-americaine,3.0
241320,al-'amâmat wa al-quba'at  , ,Sun' Allâh Ibrâhîm,Dâr al-mustaqbal al-'arabî  =دار المستقبل العربي,2008,2.0,1.0,2.0,2.0,arabe,LMMO Litterature du Maghreb et du Moyen-Orient,4.0
267367,L'acrobate , ,Vincent Nouzille,Éd. du Seuil,1998,1.0,0.5,2.0,2.0,français,LFRA Litterature francaise,2.0
66121,La bougresse ,Une enquête de Mary Lester,Jean Failler,Éd. du Palémon,2000,17.0,5.666666666666667,3.0,3.0,français,LFRA Litterature francaise,24.0
409208,La sultane du Caire , ,Dima Droubi,Zellige,2016,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
446829,Seize the night , ,Dean Ray Koontz,Headline Book Publ,1998,0.0,0.0,1.0,1.0,anglais,LNAM Litterature nord-americaine,0.0
279799,Regain , ,Marcel Pagnol,de Fallois,2005,1.0,0.5,2.0,2.0,français,LFRA Litterature francaise,2.0
363009,Dónde te escondes? , ,Mary Higgins Clark,Plaza & Janés, ,0.0,0.0,1.0,1.0,espagnol,LNAM Litterature nord-americaine,0.0
150350,Journal de trêve , ,Frédéric Berthet,Gallimard,2006,5.0,1.0,5.0,5.0,français,Littérature française (autres),4.0
428399,Héloise , ,Anne Hebert,Editions du Seuil,1980,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
156979,Moby Dick or The whale , ,Herman Melville,Penguin books,1992,5.0,2.5,2.0,2.0,anglais,LNAM Litterature nord-americaine,10.0
152388,L'apparition , ,Didier Van Cauwelaert,Librairie générale française,2003,5.0,5.0,1.0,1.0,français,LFRA Litterature francaise,21.0
373772,Les pantoufles de Max Jacob , ,Lina Lachgar,Éd. de la Différence,2001,0.0,0.0,1.0,1.0,français,Littérature française (autres),0.0
330870,Magie maya , ,Graham Masterton,Pocket,2000,0.0,0.0,1.0,1.0,français,LBRI Litterature britannique,0.0
207499,Le blé noir , ,Colette Vlérick,Pocket,2004,3.0,3.0,1.0,1.0,français,LFRA Litterature francaise,12.0
352369,Intimités , ,Chantal Pelletier,Gallimard,2005,0.0,0.0,2.0,2.0,français,LFRA Litterature francaise,0.0
157788,Inconnu à cette adresse , ,Kathrine Kressmann Taylor,"Hachette, DL",2008,5.0,1.25,4.0,4.0,français,LNAM Litterature nord-americaine,5.0
430772,"Maupassant, jeudi 1er février 1880 ", ,Jean-Jacques Brochier,J.-C. Lattès,1993,0.0,0.0,1.0,1.0,français,Littérature française (autres),0.0
178363,Mad , ,Daphne Du Maurier,A. Michel,1974,4.0,2.0,2.0,2.0,langue indéterminée,LBRI Litterature britannique,8.0
415760,Un voyageur solitaire est un diable ,Les voyageurs traqués,Henry de Montherlant,Gallimard,1961,0.0,0.0,1.0,1.0,français,Littérature française (autres),0.0
399767,Le Témoin oculaire , ,Ernst Weiss,Alinéa,1988,0.0,0.0,1.0,1.0,français,LGER Litterature germanique,0.0
204573,Les désastreuses aventures des orphelins Baudelaire ,Les désastreuses aventures des orphelins Baudelaire : l'intégrale,Lemony Snicket,Nathan Jeunesse,2014,3.0,3.0,1.0,1.0,français,LNAM Litterature nord-americaine,12.0
352842,Le Tréteau , ,Jean Lorrain,J. Bosc,1906,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
9723,Un matin pour la vie , ,Françoise Sagan,Stock,2011,110.0,3.142857142857143,35.0,35.0,français,LFRA Litterature francaise,13.0
442799,Le Tigre dans la vitrine , ,Alki Zei,Messidor,1986,0.0,0.0,1.0,1.0,français,LANT Litteratures antiques,0.0
186975,El hombre que aprendió a ladrar , ,Mario Benedetti,Cidcli ;Consejo national para la cultura y las artes,2000,3.0,3.0,1.0,1.0,espagnol,LESP Litterature espagnole,12.0
443696,Mudhakkirat imra'a ghayr waqi*iyya , ,Sahar Khalifa,Dâr al-adâb,1992,0.0,0.0,1.0,1.0,arabe,LMMO Litterature du Maghreb et du Moyen-Orient,0.0
57241,Quelques minutes de bonheur absolu , ,Agnès Desarthe,Éd. de l'Olivier,1993,21.0,4.2,5.0,5.0,français,LFRA Litterature francaise,17.0
49469,Air marin , ,Elisabeth Motsch,l'École des loisirs,2003,25.0,1.6666666666666667,15.0,14.0,français,LFRA Litterature francaise,7.0
328543,Tainaya istoriya , ,Donna Tartt,Inostranka = Иностранка,2009,0.0,0.0,1.0,1.0,russe,LNAM Litterature nord-americaine,0.0
216053,Mrs Dalloway , ,Virginia Woolf,Archipoche,2017,2.0,2.0,1.0,1.0,français,LBRI Litterature britannique,8.0
51955,0Oeuvres complètes ,Oeuvres complètes / Albert Cossery,Albert Cossery,J. Losfeld,2005,23.0,2.5555555555555554,9.0,9.0,français,LFRA Litterature francaise,11.0
75256,La nuit la plus longue , ,James Lee Burke,Éd. Payot & Rivages,2013,14.0,4.666666666666667,3.0,3.0,français,LNAM Litterature nord-americaine,19.0
24347,La vie secrète d'Emily Dickinson , ,Jérôme Charyn,Éd. Payot & Rivages,2013,53.0,2.0384615384615383,26.0,26.0,français,LNAM Litterature nord-americaine,8.0
160398,Le destin des nains , ,Markus Heitz,Bragelonne,2013,4.0,2.0,2.0,2.0,français,LGER Litterature germanique,8.0
211199,Amie de ma jeunesse , ,Alice Munro,Rivages,1996,2.0,2.0,1.0,1.0,français,LBRI Litterature britannique,8.0
189384,La literatura nazi en América  , ,Roberto Bolaño,Seix Barral,1996,3.0,3.0,1.0,1.0,espagnol,LLAT Litterature latino-americaine,12.0
435790,"Un jour, je m'en souviens... ", ,Max-Pol Fouchet,Mercure de France,1968,0.0,0.0,1.0,1.0,français,Littérature française (autres),0.0
271161,Indigo slam , ,Robert Crais,Orion books,2001,1.0,1.0,1.0,1.0,anglais,LNAM Litterature nord-americaine,4.0
273072,Sherlock Holmes toàn tâp , ,Arthur Conan Doyle,NXB Văn học,2014,1.0,1.0,1.0,1.0,vietnamien,LBRI Litterature britannique,4.0
410431,La chambre voisine , ,François Emmanuel,Stock,2001,0.0,0.0,2.0,2.0,français,LFRA Litterature francaise,0.0
354478,Lettres en liberté conditionnelle , ,Mireille Bonnelle,Manya,1990,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
123240,The fire gospel , ,Michel Faber,Canongate,2009,7.0,1.1666666666666667,6.0,6.0,anglais,LBRI Litterature britannique,5.0
67636,Le bateau-usine , ,Takiji Kobayashi,Yago,2009,17.0,3.4,5.0,5.0,français,LJAP Litterature japonaise et coreenne,14.0
